Frequency_Hz	Pair_2_Noise_nV	Pair_3_Noise_nV
1.7425	0.00016263945541670263	0.00017130955252889899
1.745875	0.00013661556101193011	0.00012999626170026734
1.75825	0.0001387470753050943	0.00011717833866221819
1.770625	0.00012491819369748306	0.00010406445408611868
1.783	0.00014254813221572705	0.00019131345644460664
1.795375	0.00011014080503723404	0.00020087064246554297
1.804375	0.00016853355191512578	0.00019700276517571624
1.80775	0.00011716870187332408	0.00010607282690529135
1.820125	0.0002623096819331637	0.00011728408074499071
1.8325	0.00025906910351040994	0.00015368687862324975
1.844875	0.00011786403938026898	0.00012069503106144677
1.85725	0.00010012934443498119	9.417644163399678e-05
1.86625	0.00018194870443370543	0.00018107821050613435
1.869625	0.00010287520810890251	0.00010229425857363647
1.882	0.00010008457172110943	0.00011807513645839203
1.894375	0.0001473135804756357	0.00010999015236193466
1.90675	0.00013020922094473915	0.00018499508432776236
1.919125	0.0001538172657303672	0.00023667253829791154
1.928125	0.00015858312422336462	0.0002204161795900952
1.9315	0.00014155233410478223	0.00018649987283835315
1.943875	0.00013126687437543067	3.09697645033862e-05
1.95625	0.00017517462627646848	0.00017889577315493064
1.968625	0.0001296841564132427	0.00018448693562096583
1.981	6.388744541208624e-05	0.0001807846902359099
1.99	0.00015076959746497434	0.00020355045078903757
1.993375	6.50278090946166e-05	0.00011642228589032043
2.00575	0.00019355993874923473	7.394040576089572e-05
2.018125	0.00020958658169757338	7.769126401200137e-05
2.0305	0.00015485070623243505	0.00021643347430460913
2.042875	0.00019672770256673943	0.0001995657016968284
2.051875	0.00016898164313714048	0.00017784271958932673
2.05525	0.00017453339457998174	0.00010317154967650529
2.067625	0.00013246817333716765	0.00017308680772720923
2.08	0.0001831818236234084	0.0002633145959845134
2.092375	0.0002266280555420469	0.0002209682854962655
2.10475	0.00019065397039356904	0.00019933306530235242
2.11375	0.000181749087122941	0.0002169704712847866
2.117125	0.00022193075330595894	0.00025986412786781557
2.1295	0.00016722850131278938	0.00015878353014479052
2.141875	0.0002655885251254647	0.00026642978395398966
2.15425	0.00028073521183816593	0.000251578915389406
2.166625	0.00023608003953480672	0.0001759015341226048
2.175625	0.0001693477454500059	0.00019966657262746813
2.179	0.00024931060577217145	0.00021811035848179496
2.191375	0.00023531331524318273	0.00024585599632538456
2.20375	0.00012729505297194037	0.00019598535476356163
2.216125	6.828038299832171e-05	9.881607084704138e-05
2.2285	0.00012811516097127772	0.00026088302247585294
2.2375	0.00016052444998192517	0.0001478010887519087
2.240875	0.00017606416309596794	0.0002130309989806263
2.25325	0.0002492067027114943	8.812234794616573e-05
2.265625	0.00017856571608557197	8.49590986484267e-05
2.278	0.00016601231343728572	0.0001367430540429736
2.290375	0.00018972573072191843	0.00019662199212225958
2.299375	0.00018305338694673718	0.00015430931363113472
2.30275	0.00017994633176320626	0.00024048769278562656
2.315125	0.00021062169130428232	0.00013639081450653631
2.3275	0.00011565548116964626	0.00015331181802317917
2.339875	0.00011394090116388188	0.00016131588907654913
2.35225	0.00014291148933740912	0.0001560329542597858
2.36125	0.0001387497097507591	0.00013468485157808172
2.364625	0.00014516405894641967	0.00015457659664205186
2.377	7.557185953854848e-05	0.00018410017787995212
2.389375	0.00016030450657013325	0.00016186091866786097
2.40175	0.00018520836827227866	0.00014619497782157224
2.414125	0.00018008800997085396	0.00011106625324040782
2.423125	0.0001468504452112594	0.00013385305987038585
2.4265	0.0001634463506495376	0.0001325924006380894
2.438875	0.00010474065272319054	0.00022176695217186892
2.45125	9.617576214412807e-05	0.00022147856863383847
2.463625	0.00020191160332070049	0.00021885572521336037
2.476	0.00023834505287859532	8.673245769138853e-05
2.485	0.0001578577289498601	0.00012318613230817622
2.488375	0.00017045010254869281	8.731687227893588e-05
2.50075	0.0001766698699641328	0.00013943110751386722
2.513125	0.00016941995542752662	0.00011006069657318683
2.5255	0.00015928653626294471	0.00011491182006041153
2.537875	0.00021216700266311818	0.00012607557272287763
